Scene No,Character1,Narrative,Character2
3,HARRY,"I can't, Hedwig. I'm not allowed
to use magic outside of school.
Besides, if Uncle Vernon --",Hedwig
3,UNCLE VERNON,Harry Potter!,HARRY
3,HARRY,Now you've done it.,Hedwig
4,UNCLE VERNON,"I warned you. If you can't
control that bloody bird, it'll
have to go.",HARRY
4,HARRY,"She's bored. If I could just let
her out for an hour or two --",UNCLE VERNON
4,UNCLE VERNON,"And have you sending secret
messages to your freaky little
friends? No, sir.",HARRY
4,HARRY,"But I haven't gotten any messages.
From any of my friends. Not one.
All summer.",HARRY
4,DUDLEY,Who'd want to be friends with you?,HARRY
4,UNCLE VERNON,"I should think you'd be more
grateful. We raise you since you
were a baby, give you food off our
table, even let you have Dudley's
second bedroom... purely out of
the goodness of our hearts.",HARRY
4,DUDLEY,"I thought he got the second
bedroom because Mum was afraid
he'd turn us into dung beetles if
you put him back in the cupboard
under the stairs.",UNCLE VERNON
4,AUNT PETUNIA,"Not yet, popkin. That's for when
the Masons arrive.",DUDLEY
4,UNCLE VERNON,"Which should be any moment. Now.
Let's run through our schedule one
more time. Petunia, when the
Masons get here, you will be --",AUNT PETUNIA
4,AUNT PETUNIA,"In the lounge, waiting to welcome
them graciously to our home.",UNCLE VERNON
4,UNCLE VERNON,Good. And Dudley?,DUDLEY
4,DUDLEY,I'll be waiting to open the door.,UNCLE VERNON
4,UNCLE VERNON,Excellent. ,DUDLEY
4,UNCLE VERNON,And you?,HARRY
4,HARRY,"I'll be in my bedroom, making no
noise and pretending I don't
exist.",UNCLE VERNON
4,UNCLE VERNON,"Too right you will. With any
luck, this could well be the day I
make the biggest deal of my
career.",HARRY
4,UNCLE VERNON,Upstairs! Hurry!,HARRY
6,DOBBY,"Harry Potter! Such an honor it
is!",HARRY
6,HARRY,What... Who are you?,DOBBY
6,DOBBY,"Dobby, sir. Dobby the house elf.",HARRY
6,HARRY,"I see. Not to be rude or
anything, but this isn't a great
time for me to have a house-elf in
my bedroom.",DOBBY
6,DOBBY,"Oh, yes, sir, Dobby understands.
It's just that, Dobby has come to
tell you... it is difficult, sir...
Dobby wonders where to begin.",HARRY
6,HARRY,Why don't you sit down?,DOBBY
6,DOBBY,S-s-sit down?,HARRY
6,HARRY,"Shhhh! I'm sorry. I didn't mean
to offend you or anything --",DOBBY
6,DOBBY,"Offend Dobby! Dobby has heard of
your greatness, sir, but never has
he been asked to sit down by a
wizard, like an equal...",HARRY
6,HARRY,"You can't have met many decent
wizards then.",DOBBY
6,DOBBY,Bad Dobby! Bad Dobby!,DOBBY
7,UNCLE VERNON,"Don't mind that. It's just the...
cat.",MR. MASON
7,UNCLE VERNON,,MRS. MASON
7,DUDLEY,Cat? What cat?,UNCLE VERNON
7,UNCLE VERNON,"Our cat, tiger.",DUDLEY
8,HARRY,Are you... all right?,DOBBY
8,DOBBY,"Dobby had to punish himself, sir.
Dobby almost spoke ill of his
family, sir.",HARRY
8,HARRY,Your... family?,DOBBY
8,DOBBY,"The wizard family Dobby serves,
sir. Dobby is bound to serve one
family forever. If they ever knew
Dobby was here...",HARRY
8,DOBBY,"But Dobby had to come. Dobby has
to protect Harry Potter. To warn
him.",HARRY
8,DOBBY,"Harry Potter must not go back to
Hogwarts School of Witchcraft and
Wizardry this year.",HARRY
8,HARRY,Not go back? But... I have to.,DOBBY
8,DOBBY,"This is a plot. A plot to make
most terrible things happen. If
Harry Potter goes back to school
he will be in great danger.",HARRY
8,HARRY,"What terrible things? Who's
plotting them?",DOBBY
8,HARRY,"Okay! I understand. You can't
say --",DOBBY
9,UNCLE VERNON,"They arrive at the ninth hole
and --",MR. MASON
9,MR. MASON,"Sounds as if that cat of yours has
dragged something in with it,
Dursley.",UNCLE VERNON
9,UNCLE VERNON,Not to worry. I'll sort it out.,MR. MASON
10,HARRY,Stop! Stop!,DOBBY
10,UNCLE VERNON,"What the devil are you doing up
here! You've just ruined the
punch line of my Japanese golfer
joke. One more sound and you'll
wish you'd never been born, boy!",HARRY
10,HARRY,"See why I've got to go back? I
don't belong here. I belong in
your world -- at Hogwarts. It's
the only place I've got...
friends.",DOBBY
10,DOBBY,"Friends who don't even write to
Harry Potter?",HARRY
10,HARRY,"Well, I expect they've been --
hang on, how do you know my
friends haven't been writing me?
Guiltily, Dobby takes out a STACK of LETTERS.",DOBBY
10,DOBBY,"Harry Potter mustn't be angry with
Dobby -- Dobby hoped if Harry
Potter thought his friends had
forgotten him... Harry Potter
might not want to go back to
school, sir...",HARRY
10,HARRY,Give me those. Now.,DOBBY
11,HARRY,Dobby... Please... No...,DOBBY
11,DOBBY,"Harry Potter must say he's not
going back to school.",HARRY
11,HARRY,I can't. Hogwarts is my home.,DOBBY
11,DOBBY,"Then Dobby must do it, sir. For
Harry Potter's own good.",HARRY
11,UNCLE VERNON,"I'm sorry. It's our nephew. Very
disturbed. Meeting strangers
upsets him, so we kept him
upstairs...",MR. MASON
11,AUNT PETUNIA,We have ice cream...,MR. MASON
11,UNCLE VERNON,Go on. Read it.,HARRY
11,HARRY,"Dear Mr. Potter. We have
received intelligence that a Hover
Charm was used at your place of
residence at twelve minutes past
seven this evening. As you know,
underage wizards...'",UNCLE VERNON
11,UNCLE VERNON,"... are not permitted to perform
spells outside school.' You didn't tell us you weren't
Allowed to use magic at home.
Slipped your mind, didn't it?",HARRY
11,UNCLE VERNON,"Well, I've got news for you, boy.
I'm locking you up! And if you
try to magic yourself out, they'll
expel you! You're never going
back to that school! Never!",HARRY
13,DUDLEY,I know what day it is.,HARRY
