"Group.1","score"
"age witch",2
"Aragog",-1
"Argus filch",2
"Aunt petunia",0
"Colin creavley",1
"Dobby",-6
"Draco malfoy",1
"Dudley",3
"Dumbledore",-8
"Ernie",0
"Everyone",-10
"Fawkes",2
"Flint",4
"Fred",1
"Fudge",3
"George",2
"Gilderoy lockhart",-4
"Ginny",5
"Guard",-2
"Hagrid",-2
"Hannah",-6
"Hardy",-1
"Harry",-46
"Hedwig",2
"Hermione",-26
"Hermione ’ s parent",0
"Justin flectchy",1
"Lucius malfoy",-1
"Madam pomfrey",-1
"Mcgonagall",1
"moan myrtle",2
"Mr. borgin",1
"Mr. mason",-5
"Mr. weasley",4
"Mrs. mason",0
"Mrs. weasley",0
"Neville",0
"Nick",0
"Penelope",-1
"Percy weasley",-1
"Professor sprout",-4
"Ron",-52
"Seamus",-1
"Snape",0
"Spell",0
"Tom riddle",3
"Uncle vernon",-1
"Wood",-1
"Young hagrid",-5
